iter	Passed	Remaining
403	8989	4361
404	9009	4338
405	9033	4316
406	9055	4293
407	9076	4271
408	9097	4248
409	9120	4226
410	9144	4205
411	9164	4181
412	9196	4163
413	9224	4144
414	9255	4126
415	9282	4105
416	9306	4084
417	9326	4060
418	9347	4037
419	9369	4015
420	9390	3992
421	9411	3969
422	9435	3948
423	9459	3926
424	9480	3903
425	9501	3880
426	9523	3858
427	9545	3835
428	9565	3812
429	9587	3790
430	9607	3767
431	9629	3744
432	9650	3721
433	9670	3698
434	9690	3675
435	9710	3652
436	9730	3629
437	9753	3607
438	9775	3584
439	9798	3563
440	9818	3540
441	9838	3517
442	9860	3494
443	9879	3471
444	9901	3448
445	9921	3425
446	9943	3403
447	9966	3381
448	9987	3358
449	10010	3336
450	10032	3314
451	10053	3291
452	10076	3269
453	10098	3247
454	10121	3225
455	10145	3203
456	10167	3181
457	10187	3158
458	10208	3135
459	10229	3113
460	10248	3090
461	10270	3067
462	10292	3045
463	10316	3023
464	10339	3001
465	10361	2979
466	10382	2956
467	10405	2934
468	10426	2912
469	10449	2890
470	10471	2868
471	10492	2845
472	10513	2822
473	10533	2800
474	10555	2777
475	10573	2754
476	10596	2732
477	10616	2709
478	10636	2686
479	10659	2664
480	10680	2642
481	10702	2620
482	10722	2597
483	10742	2574
484	10761	2551
485	10782	2529
486	10803	2506
487	10828	2485
488	10849	2462
489	10869	2440
490	10889	2417
491	10910	2394
492	10932	2372
493	10954	2350
494	10974	2327
495	10997	2305
496	11018	2283
497	11040	2261
498	11060	2238
499	11082	2216
500	11102	2193
501	11123	2171
502	11145	2149
503	11169	2127
504	11189	2105
505	11210	2082
506	11230	2059
507	11250	2037
508	11271	2015
509	11294	1993
510	11315	1970
511	11341	1949
512	11361	1926
513	11383	1904
514	11404	1882
515	11425	1860
516	11447	1837
517	11466	1815
518	11486	1792
519	11508	1770
520	11530	1748
521	11553	1726
522	11573	1703
523	11596	1681
524	11617	1659
525	11638	1637
526	11659	1615
527	11680	1592
528	11702	1570
529	11724	1548
530	11749	1526
531	11772	1504
532	11792	1482
533	11812	1459
534	11831	1437
535	11854	1415
536	11875	1393
537	11895	1370
538	11921	1349
539	11942	1326
540	11963	1304
541	11985	1282
542	12007	1260
543	12028	1238
544	12048	1215
545	12068	1193
546	12091	1171
547	12112	1149
548	12133	1127
549	12153	1104
550	12176	1082
551	12198	1060
552	12220	1038
553	12241	1016
554	12263	994
555	12286	972
556	12307	950
557	12328	927
558	12348	905
559	12370	883
560	12392	861
561	12415	839
562	12437	817
563	12459	795
564	12480	773
565	12502	751
566	12523	728
567	12544	706
568	12566	684
569	12585	662
570	12606	640
571	12630	618
572	12653	596
573	12675	574
574	12695	551
575	12715	529
576	12737	507
577	12758	485
578	12780	463
579	12802	441
580	12824	419
581	12846	397
582	12866	375
583	12886	353
584	12907	330
585	12927	308
586	12950	286
587	12976	264
588	12996	242
589	13017	220
590	13037	198
591	13059	176
592	13080	154
593	13100	132
594	13122	110
595	13144	88
596	13164	66
597	13186	44
598	13207	22
599	13230	0
